STORE_CODE,STORE_NAME,STORE_LINK,STORE_LOCATION,STORE_POSTAL_CODE,MARKET,STORE_CODE_NEW
499,IKEA Braga,https://www.ikea.com/pt/pt/stores/braga/,Braga,4700-068 Braga,PT,499
501,IKEA Hyderabad,https://www.ikea.com/in/en/stores/hyderabad/,Hyderabad,500032,IN,501
518,Nice - St. Isidore,https://www.ikea.com/fr/fr/stores/nice-saint-isidore/,Nice,06200 ,FR,518
522,IKEA Goyang,https://www.ikea.com/kr/en/stores/goyang/,Goyang,10551,KR,522
545,IKEA Navi Mumbai,https://www.ikea.com/in/en/stores/mumbai/navi/,Navi Mumbai,400705,IN,545
582,IKEA Giheung,https://www.ikea.com/kr/en/stores/giheung/,Giheung,17086,KR,582
602,IKEA Dongbusan,https://www.ikea.com/kr/en/stores/dong-busan/,Dongbusan,46084,KR,602
645,Paris - Rivoli,https://www.ikea.com/fr/fr/stores/paris-rivoli/,Paris,75001 ,FR,645
659,Toronto Downtown,https://www.ikea.com/ca/en/stores/toronto-downtown/,Downtown Toronto,M5B 1S9,CA,659
682,IKEA Fiumicino,https://www.ikea.com/it/it/stores/roma-fiumicino/,Fiumicino,00054 ,IT,682
686,IKEA København,https://www.ikea.com/dk/da/stores/kobenhavn/,København,1577,DK,1577
374,IKEA Merriam,https://www.ikea.com/us/en/stores/merriam/,"KS, Merriam",66202,US,374
379,IKEA Houston,https://www.ikea.com/us/en/stores/houston/,"TX, Houston",77024,US,379
399,IKEA Burbank,https://www.ikea.com/us/en/stores/burbank/,"CA, Burbank",91502,US,399
409,IKEA Paramus,https://www.ikea.com/us/en/stores/paramus/,"NJ, Paramus",7652,US,409
410,IKEA St. Louis,https://www.ikea.com/us/en/stores/st-louis/,"MO, St. Louis",63108,US,410
411,IKEA College Park,https://www.ikea.com/us/en/stores/college-park/,"MD, College Park",20740,US,411
413,IKEA Covina,https://www.ikea.com/us/en/stores/covina/,"CA, Covina",91723,US,413
462,IKEA Las Vegas,https://www.ikea.com/us/en/stores/las-vegas/,"NV, Las Vegas",89148,US,462
488,IKEA Renton,https://www.ikea.com/us/en/stores/renton/,"WA, Renton",98057,US,488
508,IKEA Memphis,https://www.ikea.com/us/en/stores/memphis/,"TN, Memphis",38016,US,508
511,IKEA Columbus,https://www.ikea.com/us/en/stores/columbus/,"OH, Columbus",43240,US,511
535,IKEA Grand Prairie,https://www.ikea.com/us/en/stores/grand-prairie/,"TX, Grand Prairie",75052,US,535
536,IKEA Fishers,https://www.ikea.com/us/en/stores/fishers/,"IN, Fishers",46037,US,536
537,IKEA Jacksonville,https://www.ikea.com/us/en/stores/jacksonville/,"FL, Jacksonville",32256,US,537
560,IKEA Oak Creek,https://www.ikea.com/us/en/stores/oak-creek/,"WI, Oak Creek",53154,US,560
569,IKEA Norfolk,https://www.ikea.com/us/en/stores/norfolk/,"VA, Norfolk",23502,US,569
